Trial Frequency, Trial Roughness, Trial Amplitude, Participant Frequency, Participant Roughness, Participant Amplitude, Frequency Error, Roughness Error, Amplitude Error
75,-200,1,25,0,0,0,0
75,-200,2,69.5238,-178.0952,-178.0952,0,0
75,-200,2,80,-220,-220,0,0
75,-200,2,69.5238,-178.0952,-178.0952,0,0
52.5,-110,2,80,-220,-220,0,0
52.5,-110,2,80,-220,-220,0,0
30,-20,1,80,-220,-220,0,0
30,-20,2,50.01191,-100.0477,-100.0477,0,0
30,-20,2,80,-220,-220,0,0
30,-20,2,31.15477,-24.61908,-24.61908,0,0
52.5,-110,2,80,-220,-220,0,0
52.5,-110,1,25,0,0,0,0
