Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,16,41.545,12,38.97186,90
2,10,16,40.95,11,34.7753,100
2,11,16,40.355,10,31.50702,80
2,12,16,39.76,9,28.96167,100
2,13,16,39.165,8,26.97936,100
2,14,16,38.57,7,25.43553,70
2,14,16,38.57,7,25.43553,0
2,15,16,37.975,6,24.23319,0
2,16,16,37.38,5,23.29682,0
2,17,16,36.785,4,22.56756,0
2,18,16,36.19,3,21.99962,0
2,19,16,35.595,2,21.5573,0
3,9,16,41.545,12,38.97186,100
3,10,16,40.95,11,34.7753,100
3,11,16,40.355,10,31.50702,87.5
3,12,16,39.76,9,28.96167,71.42857
3,13,16,39.165,8,26.97936,57.14286
3,12,16,39.76,9,28.96167,83.33334
3,13,16,39.165,8,26.97936,0
3,14,16,38.57,7,25.43553,0
3,15,16,37.975,6,24.23319,0
3,16,16,37.38,5,23.29682,0
3,17,16,36.785,4,22.56756,0
3,18,16,36.19,3,21.99962,0
3,19,16,35.595,2,21.5573,0
4,9,16,41.545,12,38.97186,100
4,10,16,40.95,11,34.7753,100
4,11,16,40.355,10,31.50702,77.77778
4,12,16,39.76,9,28.96167,85.71429
4,13,16,39.165,8,26.97936,88.88889
4,14,16,38.57,7,25.43553,100
4,15,16,37.975,6,24.23319,25
4,14,16,38.57,7,25.43553,25
4,16,16,37.38,5,23.29682,0
4,17,16,36.785,4,22.56756,0
4,18,16,36.19,3,21.99962,0
4,19,16,35.595,2,21.5573,0
