Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,25,41.545,12,38.97186,33.33333
2,8,25,42.14,13,44.36035,37.5
2,7,25,42.735,14,51.27931,50
2,6,25,43.33,15,60.16343,37.5
2,5,25,43.925,16,71.57086,50
2,10,25,40.95,11,34.7753,0
2,11,25,40.355,10,31.50702,0
2,12,25,39.76,9,28.96167,0
2,13,25,39.165,8,26.97936,0
2,14,25,38.57,7,25.43553,0
2,15,25,37.975,6,24.23319,0
2,16,25,37.38,5,23.29682,0
2,17,25,36.785,4,22.56756,0
2,18,25,36.19,3,21.99962,0
2,19,25,35.595,2,21.5573,0
3,9,25,41.545,12,38.97186,44.44444
3,8,25,42.14,13,44.36035,25
3,7,25,42.735,14,51.27931,0
3,6,25,43.33,15,60.16343,85.71429
3,7,25,42.735,14,51.27931,100
3,8,25,42.14,13,44.36035,100
3,9,25,41.545,12,38.97186,100
3,10,25,40.95,11,34.7753,100
3,11,25,40.355,10,31.50702,100
3,12,25,39.76,9,28.96167,58.33333
3,11,25,40.355,10,31.50702,100
3,12,25,39.76,9,28.96167,85.71429
3,13,25,39.165,8,26.97936,77.77778
3,14,25,38.57,7,25.43553,70.58823
3,13,25,39.165,8,26.97936,70.58823
3,15,25,37.975,6,24.23319,0
3,16,25,37.38,5,23.29682,0
3,17,25,36.785,4,22.56756,0
3,18,25,36.19,3,21.99962,0
3,19,25,35.595,2,21.5573,0
4,9,25,41.545,12,38.97186,66.66666
4,1,25,46.305,20,160.1841,0
4,2,25,45.71,19,129.1755,0
4,3,25,45.115,18,105.026,0
4,4,25,44.52,17,86.2183,0
4,5,25,43.925,16,71.57086,0
4,6,25,43.33,15,60.16343,0
4,7,25,42.735,14,51.27931,0
4,8,25,42.14,13,44.36035,0
4,9,25,41.545,12,38.97186,0
4,10,25,40.95,11,34.7753,0
4,11,25,40.355,10,31.50702,0
4,12,25,39.76,9,28.96167,0
4,13,25,39.165,8,26.97936,0
4,14,25,38.57,7,25.43553,0
4,15,25,37.975,6,24.23319,0
4,16,25,37.38,5,23.29682,0
4,17,25,36.785,4,22.56756,0
4,18,25,36.19,3,21.99962,0
4,19,25,35.595,2,21.5573,0
4,9,25,41.545,12,38.97186,100
4,10,25,40.95,11,34.7753,100
4,11,25,40.355,10,31.50702,100
4,12,25,39.76,9,28.96167,75
4,13,25,39.165,8,26.97936,100
4,14,25,38.57,7,25.43553,100
4,15,25,37.975,6,24.23319,54.54546
4,14,25,38.57,7,25.43553,54.54546
4,16,25,37.38,5,23.29682,0
4,17,25,36.785,4,22.56756,0
4,18,25,36.19,3,21.99962,0
4,19,25,35.595,2,21.5573,0
