Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,13,40.25,21,200,100
0,1,13,39.9875,20,160.1841,100
0,2,13,39.725,19,129.1755,100
0,3,13,39.4625,18,105.026,100
0,4,13,39.2,17,86.2183,100
0,5,13,38.9375,16,71.57086,100
0,6,13,38.675,15,60.16343,100
0,7,13,38.4125,14,51.27931,25
0,7,13,38.4125,14,51.27931,0
0,8,13,38.15,13,44.36035,0
0,9,13,37.8875,12,38.97186,0
0,10,13,37.625,11,34.7753,0
0,11,13,37.3625,10,31.50702,0
0,12,13,37.1,9,28.96167,0
0,13,13,36.8375,8,26.97936,0
0,14,13,36.575,7,25.43553,0
0,15,13,36.3125,6,24.23319,0
0,16,13,36.05,5,23.29682,0
0,17,13,35.7875,4,22.56756,0
0,18,13,35.525,3,21.99962,0
0,19,13,35.2625,2,21.5573,0
1,9,13,37.8875,12,38.97186,100
1,10,13,37.625,11,34.7753,25
1,9,13,37.8875,12,38.97186,80
1,10,13,37.625,11,34.7753,100
1,11,13,37.3625,10,31.50702,88.88889
1,12,13,37.1,9,28.96167,100
1,13,13,36.8375,8,26.97936,100
1,14,13,36.575,7,25.43553,100
1,15,13,36.3125,6,24.23319,100
1,16,13,36.05,5,23.29682,100
1,17,13,35.7875,4,22.56756,60
1,16,13,36.05,5,23.29682,0
1,18,13,35.525,3,21.99962,0
1,19,13,35.2625,2,21.5573,0
2,9,13,37.8875,12,38.97186,100
2,10,13,37.625,11,34.7753,44.44444
2,9,13,37.8875,12,38.97186,85.71429
2,10,13,37.625,11,34.7753,0
2,11,13,37.3625,10,31.50702,0
2,12,13,37.1,9,28.96167,0
2,13,13,36.8375,8,26.97936,0
2,14,13,36.575,7,25.43553,0
2,15,13,36.3125,6,24.23319,0
2,16,13,36.05,5,23.29682,0
2,17,13,35.7875,4,22.56756,0
2,18,13,35.525,3,21.99962,0
2,19,13,35.2625,2,21.5573,0
3,9,13,37.8875,12,38.97186,100
3,10,13,37.625,11,34.7753,100
3,11,13,37.3625,10,31.50702,100
3,12,13,37.1,9,28.96167,100
3,13,13,36.8375,8,26.97936,100
3,14,13,36.575,7,25.43553,83.33334
3,15,13,36.3125,6,24.23319,100
3,16,13,36.05,5,23.29682,100
3,17,13,35.7875,4,22.56756,100
3,18,13,35.525,3,21.99962,33.33333
3,18,13,35.525,3,21.99962,0
3,19,13,35.2625,2,21.5573,0
4,9,13,37.8875,12,38.97186,100
4,10,13,37.625,11,34.7753,100
4,11,13,37.3625,10,31.50702,64.28571
4,10,13,37.625,11,34.7753,71.42857
4,11,13,37.3625,10,31.50702,57.14286
4,12,13,37.1,9,28.96167,0
4,13,13,36.8375,8,26.97936,0
4,14,13,36.575,7,25.43553,0
4,15,13,36.3125,6,24.23319,0
4,16,13,36.05,5,23.29682,0
4,17,13,35.7875,4,22.56756,0
4,18,13,35.525,3,21.99962,0
4,19,13,35.2625,2,21.5573,0
