Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,6,40.25,21,200,100
0,1,6,39.9875,20,160.1841,100
0,2,6,39.725,19,129.1755,100
0,3,6,39.4625,18,105.026,100
0,4,6,39.2,17,86.2183,100
0,5,6,38.9375,16,71.57086,100
0,6,6,38.675,15,60.16343,100
0,7,6,38.4125,14,51.27931,100
0,8,6,38.15,13,44.36035,100
0,9,6,37.8875,12,38.97186,100
0,10,6,37.625,11,34.7753,100
0,11,6,37.3625,10,31.50702,100
0,12,6,37.1,9,28.96167,100
0,13,6,36.8375,8,26.97936,100
0,14,6,36.575,7,25.43553,90
0,15,6,36.3125,6,24.23319,50
1,0,6,40.25,21,200,100
1,1,6,39.9875,20,160.1841,85.71429
1,2,6,39.725,19,129.1755,100
1,3,6,39.4625,18,105.026,100
1,4,6,39.2,17,86.2183,100
1,5,6,38.9375,16,71.57086,100
1,6,6,38.675,15,60.16343,100
1,7,6,38.4125,14,51.27931,100
1,8,6,38.15,13,44.36035,100
1,9,6,37.8875,12,38.97186,100
1,10,6,37.625,11,34.7753,100
1,11,6,37.3625,10,31.50702,100
1,12,6,37.1,9,28.96167,77.77778
1,13,6,36.8375,8,26.97936,100
1,14,6,36.575,7,25.43553,0
