Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
1,1,0,41.65,20,160.1841,100
1,1,1,39.9875,20,160.1841,100
1,1,2,39.9875,20,160.1841,100
1,1,3,39.9875,20,160.1841,100
1,1,4,40.985,20,160.1841,100
1,1,4,39.9875,20,160.1841,100
1,1,5,39.9875,20,160.1841,83.33334
1,1,6,39.9875,20,160.1841,85.71429
1,1,7,39.9875,20,160.1841,100
1,1,8,39.9875,20,160.1841,100
1,1,9,39.9875,20,160.1841,100
1,1,11,39.9875,20,160.1841,0
