Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Frequency, Trial Amplitude, Participant Class, Response Time, Class Error
0,1,2,75,20,2,0,18.87462,-1
0,0,2,70,20,2,0,7.585342,0
0,1,2,75,20,2,1,2.006332,0
0,1,2,75,20,2,1,1.244812,0
0,0,2,70,20,2,0,2.409058,0
0,0,2,70,20,2,1,5.220932,1
1,0,2,0,-110,2,0,11.08983,0
1,1,2,0,-200,2,0,6.423538,-1
1,0,2,0,-110,2,0,13.41386,0
1,1,2,0,-200,2,1,6.025696,0
1,1,2,0,-200,2,0,6.463348,-1
1,0,2,0,-110,2,1,6.263809,1
2,1,2,75,-200,2,1,25.29572,0
2,0,2,70,-110,2,1,6.667633,1
2,1,2,75,-200,2,0,15.62198,-1
2,0,2,70,-110,2,0,12.48676,0
2,1,2,75,-200,2,1,9.989319,0
2,0,2,70,-110,2,0,8.437103,0
3,1,2,75,-200,1,1,19.19406,0
3,1,2,75,-200,1,1,5.906982,0
3,0,2,70,-110,2,0,8.038208,0
3,1,2,75,-200,1,0,25.39182,-1
3,0,2,70,-110,2,1,10.00171,1
3,0,2,70,-110,2,1,6.230133,1
