Experiment Index, Participant Index, Trial Left Frequency, Trial Left Roughness, Trial Left Amplitude, Trial Right Frequency, Trial Right Roughness, Trial Right Amplitude, Left Frequency, Left Roughness, Left Amplitude, Right Frequency, Right Roughness, Right Amplitude, Visual Frequency Difference Between Sides, Haptic Frequency Difference Between Sides, Amplitude Difference Between Sides
1,0,52.5,-110,2,52.5,-110,1,25,0,1,35,-39.99998,1,9.999996,39.99998,0
1,1,52.5,-110,2,52.5,-110,1,32.90477,-31.61908,1,58.57143,-134.2857,1,25.66666,102.66662,0
1,2,52.5,-110,2,52.5,-110,1,63.23809,-152.9523,1,62.84525,-151.381,1,0.3928337,1.571335,0
1,3,52.5,-110,2,52.5,-110,1,52.7619,-111.0476,1,32.46429,-29.85715,1,20.29761,81.19044,0
1,4,52.5,-110,2,52.5,-110,1,38.09522,-52.38087,1,31.41666,-25.66663,1,6.67856,26.71424,0
1,5,52.5,-110,2,52.5,-110,1,54.38092,-117.5237,1,73.71429,-194.8571,1,19.33336,77.33345,0
1,6,52.5,-110,2,52.5,-110,1,54.33333,-117.3333,1,52.36906,-109.4762,1,1.964272,7.857086,0
1,7,52.5,-110,2,52.5,-110,1,50.14286,-100.5714,1,80,-220,1,29.85714,119.4286,0
1,8,52.5,-110,2,52.5,-110,1,80,-220,1,25,0,1,55,220,0
1,9,52.5,-110,2,52.5,-110,1,47.57143,-90.28572,1,25,0,1,22.57143,90.28572,0
1,10,52.5,-110,2,52.5,-110,1,65.07143,-160.2857,1,30.23809,-20.95235,1,34.83334,139.3334,0
1,11,52.5,-110,2,52.5,-110,1,67.95236,-171.8094,1,80,-220,1,12.04764,48.19055,0
1,12,52.5,-110,2,52.5,-110,1,80,-220,1,25,0,1,55,220,0
1,13,52.5,-110,2,52.5,-110,1,71.35713,-185.4285,1,34.4762,-37.90479,1,36.88094,147.5237,0
1,14,52.5,-110,2,52.5,-110,1,49.35714,-97.42857,1,26.96428,-7.85714,1,22.39286,89.57143,0
1,15,52.5,-110,2,52.5,-110,1,72.92857,-191.7143,1,74.63097,-198.5239,1,1.702393,6.80957,0
